iter	Passed	Remaining
0	1	179
1	3	167
2	4	160
3	6	145
4	7	144
5	9	143
6	10	139
7	11	137
8	13	136
9	14	133
10	16	129
11	16	124
12	17	118
13	18	113
14	19	109
15	20	105
16	20	102
17	21	99
18	22	96
19	23	93
20	24	91
21	25	89
22	25	86
23	26	84
24	27	82
25	28	80
26	28	78
27	29	76
28	30	74
29	31	73
30	32	71
31	32	70
32	33	68
33	34	66
34	35	65
35	36	64
36	36	62
37	37	61
38	38	60
39	39	58
40	39	57
41	40	55
42	41	54
43	41	53
44	42	52
45	43	51
46	44	50
47	45	48
48	45	47
49	46	46
50	47	45
51	47	44
52	48	43
53	49	42
54	50	41
55	50	40
56	51	38
57	52	37
58	53	36
59	53	35
60	54	34
61	55	33
62	55	32
63	56	31
64	57	30
65	58	29
66	59	29
67	59	28
68	60	27
69	61	26
70	61	25
71	62	24
72	63	23
73	64	22
74	64	21
75	65	20
76	66	19
77	67	19
78	68	18
79	68	17
80	69	16
81	70	15
82	71	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	80	5
94	81	4
95	81	3
96	82	2
97	83	1
98	83	0
99	84	0
