iter	Passed	Remaining
0	145	145306
1	147	73686
2	149	49705
3	151	37780
4	153	30612
5	155	25771
6	157	22368
7	160	19846
8	162	17872
9	164	16244
10	165	14921
11	167	13818
12	169	12898
13	171	12091
14	173	11392
15	175	10789
16	177	10264
17	179	9787
18	181	9360
19	183	8976
20	185	8632
21	187	8325
22	189	8062
23	191	7801
24	193	7552
25	195	7320
26	197	7121
27	199	6922
28	200	6726
29	202	6538
30	203	6368
31	205	6212
32	206	6064
33	208	5914
34	209	5772
35	210	5636
36	211	5502
37	212	5375
38	213	5253
39	214	5139
40	214	5028
41	215	4923
42	216	4821
43	217	4723
44	218	4633
45	219	4549
46	220	4469
47	221	4390
48	222	4312
49	223	4238
50	223	4166
51	224	4098
52	225	4032
53	226	3967
54	227	3905
55	228	3846
56	228	3787
57	229	3731
58	230	3676
59	231	3623
60	232	3573
61	233	3526
62	234	3483
63	235	3442
64	236	3399
65	237	3355
66	237	3313
67	238	3272
68	239	3233
69	240	3194
70	241	3156
71	241	3118
72	242	3082
73	243	3046
74	244	3012
75	244	2977
76	245	2943
77	246	2910
78	247	2881
79	248	2856
80	249	2831
81	250	2802
82	250	2769
83	251	2741
84	252	2713
85	252	2685
86	253	2659
87	254	2633
88	254	2607
89	255	2582
90	256	2558
91	256	2535
92	257	2512
93	258	2489
94	259	2467
95	259	2445
96	260	2423
97	261	2402
98	261	2382
99	262	2364
100	263	2345
101	264	2328
102	265	2308
103	265	2290
104	266	2271
105	267	2253
106	267	2236
107	268	2218
108	269	2200
109	269	2183
110	270	2166
111	271	2150
112	271	2134
113	272	2118
114	273	2103
115	273	2087
116	274	2071
117	275	2057
118	276	2043
119	277	2031
120	277	2018
121	278	2004
122	279	1992
123	280	1978
124	280	1965
125	281	1952
126	282	1938
127	282	1926
128	283	1914
129	284	1902
130	285	1891
131	285	1879
132	286	1867
133	287	1856
134	288	1845
135	288	1834
136	289	1824
137	290	1813
138	291	1806
139	292	1799
140	293	1790
141	294	1780
142	295	1769
143	296	1760
144	296	1750
145	297	1740
146	298	1731
147	299	1721
148	299	1712
149	300	1703
150	301	1694
151	302	1686
152	303	1677
153	303	1668
154	304	1659
155	305	1652
156	306	1644
157	307	1636
158	308	1630
159	309	1623
160	309	1614
161	310	1607
162	311	1599
163	312	1591
164	313	1584
165	313	1576
166	314	1568
167	315	1561
168	315	1553
169	316	1546
170	317	1539
171	318	1532
172	319	1525
173	319	1518
174	320	1511
175	321	1505
176	324	1506
177	325	1501
178	326	1497
179	327	1492
180	328	1486
181	329	1479
182	330	1473
183	330	1466
184	331	1460
185	332	1454
186	332	1447
187	333	1441
188	334	1435
189	335	1429
190	336	1423
191	337	1418
192	338	1417
193	340	1413
194	341	1410
195	342	1405
196	343	1400
197	344	1395
198	345	1390
199	346	1384
200	347	1379
201	347	1374
202	348	1369
203	349	1365
204	350	1360
205	351	1355
206	353	1352
207	354	1350
208	355	1347
209	356	1342
210	357	1337
211	358	1333
212	359	1329
213	360	1324
214	361	1320
215	362	1315
216	363	1311
217	364	1306
218	365	1302
219	366	1298
220	367	1294
221	368	1290
222	369	1286
223	370	1282
224	370	1277
225	371	1273
226	372	1269
227	373	1265
228	374	1260
229	375	1256
230	376	1252
231	377	1248
232	378	1244
233	378	1240
234	380	1237
235	381	1235
236	383	1234
237	384	1231
238	385	1228
239	386	1224
240	387	1219
241	388	1215
242	388	1211
243	389	1206
244	390	1202
245	391	1199
246	392	1195
247	392	1190
248	393	1186
249	394	1182
250	395	1179
251	396	1175
252	397	1174
253	398	1171
254	399	1168
255	401	1166
